,rdfs:comment
746,Intersex people who speak the Bengali language and are of Bengali descent. Co-reference with Bangladeshi intersex people when an individual is of both Bengali ethnicity and Bangladeshi nationality.
747,Lesbians who speak the Bengali language or are of Bengali descent. Co-reference with Bangladeshi lesbians when an individual is of both Bengali ethnicity and Bangladeshi nationality.
748,Queer people who speak the Bengali language and are of Bengali descent. Co-reference with Bangladeshi queer people when an individual is of both Bengali ethnicity and Bangladeshi nationality.
749,Transgender people who speak the Bengali language and are of Bengali descent. Co-reference with Bangladeshi transgender people when an individual is of both Bengali ethnicity and Bangladeshi nationality.
750,An offensive term developed by settler anthropologists to broadly describe Indigenous people expressing mixed gender roles; only use in historical contexts.
751,"LGBTQ+ people who are Native American, or part of the Indigenous peoples of North America; only use for people who self identify as both Native American and LGBTQ+."
752,Asexual people who speak the Bhil language and belong to or are descended from the Bhil tribal group.
753,LGBTQ+ people who speak the Bhil language and belong to or are descended from the Bhil tribal group.
754,Bisexual people who speak the Bhil language and belong to or are descended from the Bhil tribal group.
755,LGBTQ+ people who speak the Bhojpuri language and live in or are descended from those who inhabited the Bhojpuri-Purvanchal region of India and Nepal.
756,Gay men who speak the Bhil language and belong to or are descended from the Bhil tribal group.
757,Intersex people who speak the Bhil language and belong to or are descended from the Bhil tribal group.
758,Lesbians who speak the Bhil language and belong to or are descended from the Bhil tribal group.
759,Queer people who speak the Bhil language and belong to or are descended from the Bhil tribal group.
760,Transgender people who speak the Bhil language and belong to or are descended from the Bhil tribal group.
761,Asexual people who speak the Bhojpuri language and live in or are descended from those who inhabited the Bhojpuri-Purvanchal region of India and Nepal.
762,Bisexual people who speak the Bhojpuri language and live in or are descended from those who inhabited the Bhojpuri-Purvanchal region of India and Nepal.
763,Gay men who speak the Bhojpuri language and live in or are descended from those who inhabited the Bhojpuri-Purvanchal region of India and Nepal.
764,Intersex people who speak the Bhojpuri language and live in or are descended from those who inhabited the Bhojpuri-Purvanchal region of India and Nepal.
765,Lesbians who speak the Bhojpuri language and live in or are descended from those who inhabited the Bhojpuri-Purvanchal region of India and Nepal.
766,Queer people who speak the Bhojpuri language and live in or are descended from those who inhabited the Bhojpuri-Purvanchal region of India and Nepal.
767,Transgender people who speak the Bhojpuri language and live in or are descended from those who inhabited the Bhojpuri-Purvanchal region of India and Nepal.
768,"Individuals who are not exclusively sexually and/or romantically attracted to individuals of a single biological sex (includes bisexual, queer, pansexual, and fluid identities)."
769,Individuals who experience sexual attraction to more than one gender; includes bisexual and pansexual people.
770,"Individuals who identify with non-normative gender and/or sexual identities, typically people who are not heterosexual and/or are not cisgender. Only use for people who identify as queer."
771,Term used to describe the identities of people who have two genders.
772,"People who identify as any two genders, either simultaneously or more fluidly."
773,A gender identity in which an individual's gender varies over time and across circumstances; some genderfluid people may identify as a mixture of more than one gender simultaneously.
774,"People who identify as different genders at different times, including multiple genders at once or none at all. Only use to describe people who self-identify as genderfluid."
775,Tagalog term for individuals who possess both male and female traits.
776,"The act of flattening or concealing the chest area with a tight fitting shirt, strap, or similar material; often practiced by transgender men and transmasculine people."
777,"One of the two soft, protruding organs on an individual's chest."
778,FtM (female-to-male) is a mostly historical term which has been largely replaced by “trans men.” This is due in part to the term's role in the medicalization of transgender people and the assumption that trans men were previously “female” and have become “male” (typically through hormones and/or surgery).
779,Devices designed to allow individuals to pee while standing up; often used by trans men or transmasculine people to pee in public urinals without risking their safety.
780,Colloquial term for gender-affirming surgical alterations of the chest.
781,"The experience of being a biological parent to a child. This relationship can be genetic, gestational, or both."
782,"Biological or genetic parents who are LGBTQ+ people. For adoption contexts, use LGBTQ+ birth parents."
783,The experience of parenthood as felt by parents who passed on genetic material to their child or children.
784,The experience of parenthood as felt by a person whose uterus was utilized to nurture and develop an embryo into a baby.
785,"The experience of acting as a father, including the responsibilities involved in fathering and raising children."
786,"The state, condition, or fact of being a mother."
787,People who are biologically related to one another through a shared donor.
788,Siblings who are biologically related through one but not all of their parents.
789,"The phenomenon in which bisexual people internalize or adopt biphobic beliefs (i.e., negative perceptions of and intolerance toward bisexual people and bisexuality) as a result of being raised or socialized within a biphobic environment or culture."
790,"Discrimination, prejudice, or bias against non-heterosexual people based on the assumption or belief that heterosexuality is the only normal or natural expression of sexual identity."
791,"Acronym primarily used in the United States to describe Black, Indigenous, and people of color as a group, while also centering the specific experiences of Black and Indigenous people."
792,"Acronym used to refer to queer and trans people of color as a group. Typically used to acknowledge the particularities of queer and trans people of color's experiences and the intersections of queerphobia, transphobia, and racism as directed towards queer and trans people of color."
793,LGBTQ+ people who belong to two or more racial groups.
794,Asexual people who belong to two or more racial groups.
795,Bisexual people who belong to two or more racial groups.
796,Gay men who belong to two or more racial groups.
797,Lesbians who belong to two or more racial groups.
798,Queer people who belong to two or more racial groups.
799,Transgender people who belong to two or more racial groups.
800,Bisexual people who belong to two or more racial groups.
801,Gay men who belong to two or more racial groups.
802,Lesbians who belong to two or more racial groups.
803,LGBTQ+ people who belong to more than one racial group.
804,Queer people who belong to two or more racial groups.
805,Transgender people who belong to two or more racial groups.
806,LGBTQ+ people who identify as both Pacific Islanders (or of Pacific Islander ancestry) and American.
807,"Legal documents issued to record an individual’s birth, typically including identifying information such as the individual's name, assigned gender or sex, date and location of birth, and parentage."
808,"Legal regulations and laws addressing changes to LGBTQ people’s legal names or gender markers, as well as LGBTQ people’s family relationships, including cohabitation, marriage, adoption, parent-child relationships, divorce, and child custody."
809,"Legal documents issued by a government or institution to individuals that include identifying information and, typically, grant certain legal or governmental rights and responsibilities (e.g., driver's license, birth certificate, passport)."
810,"Markers used to designate an individual's gender on official documentation, including passports, birth certificates, driver’s licenses, etc. Different jurisdictions vary significantly in the number and types of gender markers they allow on official documentation."
811,The process by which an individual adopts a new name on legal or government-issued documents.
812,"Proclamations by a judge or panel of judges requiring or authorizing specific actions (e.g., court orders approving or denying requests for name or gender marker changes)."
813,Use in reference to laws and regulations concerning the name assigned to an individual at birth.
814,"Official documents from medical practitioners (e.g., doctors, nurses, therapists) diagnosing a patient's gender dysphoria and, typically, recommending gender-affirming healthcare; sometimes required for an individual's gender-affirming healthcare to be covered under insurance or for an individual to legally change their name or gender marker."
815,Official documents issued by governments that ascribe unique numeral identifiers to citizens to track their income and determine retirement benefits. 
816,"In an adoption context, biological or genetic parents who are LGBTQ+ people."
817,"Umbrella term used to describe the processes by which LGBTQ+ people conceive children, including an LGBTQ+ person, their partner, or a third party becoming pregnant with a child that will be raised by an LGBTQ+ person, as well as LGBTQ+ people conceiving children that will be raised by other parents."
818,Direct action and organizing to achieve political or social change and acceptance for bisexuality.
819,"Institutions providing education, support, and information about bisexuality and bisexual communities to bisexual people."
820,Umbrella term for activism focused on the rights of bisexual people and issues faced by bisexual communities.
821,Bisexual individuals working to bring about political or social change through public organizing.
822,"Legal, social, or ethical principles of freedom or entitlement held by bisexual people."
823,Collections of records and materials relating to bisexual people or bisexual communities; can include a variety of organizations and institutions from community to government archives.
824,"Term for different forms of creative activity, including visual, material, and performing arts, by bisexual artists or about bisexual topics and communities. 
"
825,"Erotic art, created by bisexual artists, depicting bisexual people, or that are regarded as important within bisexual culture."
826,Artists who are known to be bisexual.
827,Bisexual people who are atheists.
828,LGBTQ+ people who do not believe in the existence of God or gods.
829,Professional or amateur/recreational sports players who are bisexual.
830,Professional or amateur sports players who self-identify as LGBTQ+.
831,Accounts of individuals' lives written by those individuals; use for autobiographies written by bisexual authors.
832,Works of fiction written to be performed; use in reference to dramatic works focusing on bisexual characters or themes.
833,"Literary work, typically written in verse, that focuses on bisexual characters, themes, or identity."
834,Creators of written works who are known to be demisexual.
835,Creators of written works who are known to be megasexual.				
836,Written works describing imagined events or people; use in reference to fictional works focusing on megasexual characters or themes.				
837,Bisexual people who are autistic.
838,Written accounts of the lives of people known to be bisexual.
839,Drinking establishments that primary cater to bisexual people.
840,Establishments that serve alcohol and are patronized primarily by LGBTQ+ people.
841,Beaches set aside for use by bisexual people or beaches known to be frequented by bisexual people.
842,Beaches set aside for use by LGBTQ+ people or beaches known to be frequented by LGBTQ+ people.
843,Bisexual people with significant or total loss of vision.
844,Bisexual people who are disabled.
845,Bookshops that sell materials intended for use by bisexual people or addressing topics related to bisexuality.
846,Boys (typically children younger than 18) who are bisexual.
847,Bisexual people who have not yet reached the age of adolescence.
848,"Children or youth, typically younger than 18 years old, who identify as boys."
849,Bisexual people who are Buddhist.
850,LGBTQ+ people who are Buddhist.
851,Television shows featuring bisexual characters or themes.
852,Employment of bisexual people.
853,Girls (typically children younger than 18) who are bisexual.
854,"Term used to describe the sexual identity of individuals who are romantically and/or sexually attracted to people of more than one gender and who prefer the term bisexual over alternatives such as pansexual, polysexual, etc."
855,Bisexual people who are Christian.
856,LGBTQ+ people who are Christian. Use a more specific term if possible.
857,"Bisexual people who are ordained for religious duties, particularly in the Christian Church."
858,"LGBTQ+ people who are ordained for religious duties, particularly in the Christian Church."
859,"Gay men who are ordained for religious duties, particularly in the Christian Church."
860,"Lesbians who are ordained for religious duties, particularly in the Christian Church."
861,"Queer people who are ordained for religious duties, particularly in the Christian Church."
862,"Transgender people who are ordained for religious duties, particularly in the Christian Church."
863,"Bisexual people who seek to entertain an audience by making them laugh, through jokes, slapstick, employing prop comedy, or other amusing means."
864,Works consisting of sequential images often accompanied by text; use in reference to comics focusing on bisexual characters or themes.
865,"Acronym used to describe lesbians, gay people, and bisexuals as a group. This acronym has often been used to exclude transgender people."
866,"Acronym used to describe lesbians, gay men, bisexual people, and transgender people as a group."
867,"Acronym used to describe lesbians, gay men, bisexual people, transgender people, and intersex people as a group."
868,"Acronym used to describe lesbians, gay men, bisexual people, transgender people, and queer people as a group."
869,"Spaces in which people from bisexual communities meet for social, education, recreational, or organizing activities."
870,Partnerships in which both people are bisexual.
871,"Ongoing connections (romantic, sexual, or platonic) between two or more bisexual people."
872,"Use to describe cultural experiences shared by members of bisexual communities or products of bisexual culture (e.g., art and media created by and for bisexual people, activism focused on bisexual issues, slang commonly used in bisexual communities, etc.)."
873,"Use to describe cultural experiences shared by members of lesbian communities or products of lesbian culture (e.g., art and media created by and for lesbians, activism focused on lesbian issues, slang commonly used in lesbian communities, etc.)."
874,"Cultural experiences shared by members of queer communities or products of queer culture (e.g., art and media created by and for queer people, activism focused on queer issues, slang commonly used in queer communities, etc.)."
875,"Cultural experiences shared by members of transgender communities or products of transgender culture (e.g., art and media created by and for transgender people, activism focused on transgender issues, slang commonly used in transgender communities, etc.)."
876,Daughters who identify as bisexual.
877,Bisexual people with significant or total hearing loss. Some but not all Deaf people prefer to capitalize Deaf in recognition of the cultural and linguistic identity they share with other Deaf people.
878,Bisexual people with significant or total hearing loss who may or may not consider themselves d/Deaf.
879,The community of Deaf LGBTQ+ people who share a cultural and/or linguistic identity.
880,Bisexual people who have long-term health conditions that require continued medical attention and/or significantly impact or limit daily life; some but not all people with chronic illnesses consider themselves disabled.
881,Women who take a dominant role in BDSM activities; use for dominatrices who identify as bisexual.
882,Women who take a dominant role in BDSM activities; use for dominatrices who identify as lesbians.
883,Women who take a dominant role in BDSM activities; use for dominatrices who identify as queer.
884,Women who take a dominant role in BDSM activities; use for dominatrices who identify as transgender.
885,"Works in the performance arts that focus on bisexual characters, communities, or issues."
886,Employment of gay men.
887,Employment of lesbians.
888,Employment of queer people.
889,Employment of transgender people.
890,"Erotic films or movies, created by bisexual directors, depicting bisexual people, or that are regarded as important within bisexual culture."
891,Erotic or sexually explicit films featuring bisexual people.
892,Literary works that have erotic or sexual elements; use in reference to erotic literature focusing on bisexual characters or themes.
893,"Families, whether biological, adoptive, or chosen, in which one or more individuals identify as bisexual."
894,Parents who are bisexual.
895,Children who have one or more bisexual parent.
896,Written works that include magical or fantastical elements; use in reference to fantasy fiction focusing on bisexual characters or themes.
897,Bisexual people who are fathers.
898,"Motion pictures, or movies, created by bisexual directors, depicting bisexual people, or that are regarded as important within bisexual culture."
899,"Children or youth, typically younger than 18 years old, who identify as girls."
900,"Past events or accounts of the past concerning bisexual people, or people who might be perceived as bisexual if they were alive today."
901,"Written works of fiction intended to frighten, scare, or disgust; use in reference to horror fiction focusing on bisexual characters or themes."
902,Libraries that hold materials primarily pertaining to bisexual people or intended for use by bisexual people.
903,"The study, evaluation, and interpretation of literary works focusing on demisexual characters or themes; can also include interpretation of literature through the lens and frameworks of demisexual studies.				"
904,"The study, evaluation, and interpretation of literary works focusing on greyromantic characters or themes; can also include interpretation of literature through the lens and frameworks of greyromantic studies.				"
905,Bisexual people (typically men) who are part of the BDSM scene and assume the master role in sexual relationships with a master/slave dynamic.
906,Gay men who are part of the BDSM scene and assume the master role in sexual relationships with a master/slave dynamic.
907,Queer people (typically men) who are part of the BDSM scene and assume the master role in sexual relationships with a master/slave dynamic.
908,Transgender people (typically men) who are part of the BDSM scene and assume the master role in sexual relationships with a master/slave dynamic.
909,Men who identify as bisexual.
910,"Adults who self-identify as men and understand their gender in terms of Western conceptions of manliness, maleness, and/or masculinity. The term has typically been defined as adult male humans, though not all men identify with the term ""male"" depending on the context in which it is used."
911,Men who identify as queer.
912,Bisexual women who are part of the BDSM scene and assume the mistress role in sexual relationships with a mistress/slave dynamic.
913,Lesbians who are part of the BDSM scene and assume the mistress role in sexual relationships with a mistress/slave dynamic.
914,Queer women who are part of the BDSM scene and assume the mistress role in sexual relationships with a mistress/slave dynamic.
915,Transgender women who are part of the BDSM scene and assume the mistress role in sexual relationships with a mistress/slave dynamic.
916,Bisexual people who are mothers.
917,"Newspapers, magazines, or other publishing outlets aimed at bisexual audiences and/or operated by bisexual people."
918,"Institutions dedicated to the storage, exhibition, conservation, and preservation of materials relating to bisexuality, bisexual people, or bisexual history."
919,"Institutions dedicated to the storage, exhibition, conservation, and preservation of materials relating to LGBTQ+ people, LGBTQ+ communities, and LGBTQ+ history."
920,Bisexual people who are Muslim.
921,LBTQ+ people who are Muslim.
922,Written literary works about the investigation of crime or the work of detectives; use in reference to mystery and detective fiction focusing on bisexual characters or themes.
923,"Bisexual people whose brains process, learn, and/or behave differently from what is considered typical by society. Some of these neurological differences can present as learning disabilities, medical disorders, and other conditions."
924,"Serialized print or digital periodicals created by or for bisexual people, often with the purpose of sharing news and information related to bisexual communities and bisexual issues."
925,"Serialized print or digital publications about bisexuality or bisexual issues (and typically produced by bisexual people or organizations) that contain news, articles, columns, correspondence, and advertisements."
926,"Operas created by bisexual directors, depicting bisexual individuals, or that are regarded as important within bisexual culture."
927,"Bisexual people who are members of polytheistic religions or other religions outside of the dominant culture that typically incorporate nature worship and/or the sacred feminine, such as Wicca, Druidry, Heathenry, etc. Use to describe bisexual people who self-identify as Pagan."
928,"LGBTQ+ people who are members of polytheistic religions or other religions outside of the dominant culture that typically incorporate nature worship and/or the sacred feminine, such as Wicca, Druidry, Heathenry, etc. Use to describe LGBTQ+ people who self-identify as Pagan."
929,Bisexual practitioners of Wicca or other Pagan religions who self-identify as witches.
930,"Bisexual people who are the romantic, sexual, or play partners of another person or people."
931,"Bisexual individuals who self-identity as women and understand their gender in terms of Western conceptions of womanness, femaleness, and/or femininity."
932,Bisexual people who do not identify as such to others.
933,"Bisexual people who are advanced in age, typically over 60 years of age."
934,"Sexual identity that is defined as attraction to more than one gender; follow the individual's preference for bisexuality, pansexuality, or polysexuality whenever possible."
935,"People who act as parents to one or more bisexual person. For parents who are themselves bisexual, use the term ""Bisexual parents."""
936,Systematic mistreatment of bisexual people on the basis of their sexual identity.
937,Bisexual individuals serving in state and national armed forces.
938,"The presence of bisexual people in the workplace, including acceptance of and issues faced by bisexual workers."
939,Businesses focusing on bisexual clientele and products related to bisexual communities.
940,Businesses owned by bisexual people.
941,"Latin American people who are bisexual; only use to describe individuals who self-identify as Latino, Latina, or Latinx. Do not conflate with Chicano/a/x or Hispanic."
942,Bisexual people who use wheelchairs.
943,"Bisexual people who are candidates for public office, are currently holding public office, or have held political positions. Politicians can be elected by public election or otherwise appointed."
944,Erotic or sexually explicit films featuring LGBTQ+ people.
945,"Print or digital publications about LGBTQ+ people and LGBTQ+ issues (typically produced by LGBTQ+ people or LGBTQ+ organizations) that contain articles, photographs, and illustrations, and advertisements."
946,
947,
948,Bisexual people who are members of the Protestant church.
949,LGBTQ+ people who are members of the Protestant Church.
950,Companies and organizations that publish materials for bisexual communities or addressing bisexual issues.
951,Auditory content broadcast on the radio (analog or digital) about bisexuality and bisexual issues.
952,"Ongoing connections (romantic, sexual, or platonic) between two or more gay men."
953,"Ongoing connections (romantic, sexual, or platonic) between two or more lesbians."
954,"Ongoing connections (romantic, sexual, or platonic) between two or more queer people."
955,"Ongoing connections (romantic, sexual, or platonic) between two or more transgender people."
956,Bisexual people who are members of the Roman Catholic Church.
957,LGBTQ+ people who are members of the Roman Catholic Church.
958,Written literary work focusing on romantic relationships and love between people; use in reference to romance fiction focusing on bisexual characters or themes.
959,"Written literary work about imaginative or futuristic concepts incorporating science, technology, space, time travel, and other speculative elements; use in reference to science fiction focusing on bisexual characters or themes."
960,Written literary works that are short in length and detail a self-contained incident or concept; use in reference to short stories focusing on bisexual characters or themes.
961,Colloquial or informal language related to bisexuality or used by bisexual people.
962,Sons who identify as bisexual.
963,"Academic field of research and study about bisexuality, bisexual individuals, and bisexual communities."
964,"Interdisciplinary academic field devoted to the study and analysis of gender in a given culture, as well as representations of gender in media and popular culture."
965,"Academic field of research and study about gay men, gay identity, and gay communities."
966,Academic field of research and study about lesbian identity and lesbian communities.
967,"Academic field of research and study about transgender people, transgender identity, and transgender communities."
968,"Bisexual people who have experienced and survived bullying due to their sexual identity; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
969,"Bisexual people who have experienced and survived hate crimes; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
970,"Bisexual people who have experienced hate crimes and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
971,"Bisexual people who have experienced and survived rape; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
972,"Bisexual people who have experienced rape and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
973,"Bisexual people who have experienced and survived sexual abuse; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
974,"Bisexual people who have experienced sexual abuse and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
975,"Bisexual people who have experienced and survived war; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
976,"Bisexual people who have experienced war and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
977,"Bisexual people who have experienced bullying due to their sexual identity and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
978,"Bisexual people's legal rights to be informed, present, and heard within the criminal justice system after having been harmed or injured as the result of of a crime, accident, or other event."
979,LGBTQ+ practitioners of Wicca or other Pagan religions who self-identify as witches.
980,"A spiritual movement that emerged in North America, Western Europe, Australia, and New Zealand in 1970s in response to male-dominated organized religion; involves worshiping the Goddess (or several goddesses), as well as a focus on women, femininity, and feminism; often associated with lesbian communities."
981,Surinamese-Creole women who have sexual relations with other women but also have had or do have relationships with men.
982,Women who engage in sexual activity with other women.
983,"Written literary works for an audience of readers from 12-18 years of age, also known as young adult literature or YA; use in reference to youth literature focusing on bisexual characters or themes."
984,Businesses focusing on gay clientele and products related to gay communities.
985,Businesses focusing on lesbian clientele and products related to lesbian communities.
986,Businesses focusing on queer clientele and products related to queer communities.
987,Businesses focusing on transgender clientele and products related to transgender communities.
988,Businesses owned by gay people.
989,Businesses owned by lesbians.
990,Businesses owned by queer people.
991,Businesses owned by transgender people.
992,Term used to describe the sexual identity of individuals who experience attraction to more than one gender; includes bisexuality and pansexuality.
993,Sexual orientation with sexual and/or romantic attraction to individuals of the same sex.
994,"Sexual orientation of women and femmes who are sexually and/or romantically attracted to other women and femmes. However, not all lesbians are women, and gender non-conforming people who belong to lesbian communities have often identified as lesbian."
995,The time period between childhood and adulthood.
996,Term used in yaoi and yaoi fan communities to describe the receiving or submissive partner in a fictional male-male relationship.
997,"Japanese word used by English-speaking anime and manga fans to describe explicit or pornographic works featuring male-male couples that are typically created by heterosexual female authors for heterosexual female readers. Note that the Japanese meaning and usage of ""yaoi"" and related terms differ considerably."
998,"The manga and anime genre of fictional male-male romance created for a primarily female audience; sometimes used interchangeably with ""Yaoi"" in English (but not in Japanese)."
999,Term used in yaoi or yaoi fan communities to describe the giving or dominant parter in a fictional male-male relationship.
1000,Mentally and physically androgynous shamans in Bugis (Indonesia) culture.
1001,"Biting, or applying pressure with one's teeth, for the purposes of sexual arousal."
1002,"Sexual practices or fetishes centering around the ""vampire lifestyle""; can be a subset of BDSM communities and include roleplay, the consumption of blood, etc. "
1003,"Among the Zapotec in Teotitlán del Valle, Mexico, this term refers to people assigned male at birth who exhibit feminine characteristics."
1004,A form of feminism that developed in response to the failures of mainstream feminist and civil rights efforts to acknowledge the ways white supremacy and the patriarchy interact to inform the particular experiences of Black women.
1005,"A theoretical framework first conceptualized by Kimberlé Crenshaw to describe how different facets of social identity (such as gender, race, ethnicity, disability, socioeconomic class, religion, and sexual identity) overlap and intersect, often compounding the individual's experiences with inequality and discrimination."
1006,"A social theory based on the history and everyday experiences of Black women. Womanism grew out of the perceived indifference of the feminist movement towards the needs of Black women, who are often excluded from the categories of ""female"" and ""femininity"" as understood by white feminists. At the core of womanism is the idea that mainstream feminism is a movement led by white women to serve white women's goals, which can be indifferent or even oppositional to the needs of Black women."
1007,Black men who are gay. Use only for individuals who self-identity as Black. Follow the individual’s preference for African American or Black whenever possible.
1008,Black people who are intersex. Use only for individuals who self-identity as Black. Follow the individual’s preference for African American or Black whenever possible.
1009,Black people who are lesbians. Use only for individuals who self-identity as Black. Follow the individual’s preference for African American or Black whenever possible.
1010,Black people who are queer. Use only for individuals who self-identity as Black. Follow the individual’s preference for African American or Black whenever possible.
1011,Black queer people who recognize their queer identity as salient to their Blackness and vice versa; only use to describe individuals who identify as Blaqueer or BlaQ.
1012,"A primarily U.S. American and Canadian decentralized political and social movement advocating for non-violent civil disobedience in protest against incidents of police brutality and all racially motivated violence against Black people. The broader movement and its related organizations typically advocate against police violence towards Black people, as well as for various other policy changes considered to be related to Black liberation."
1013,A part of the Black Lives Matter movement which specifically advocates for Black trans people (especially Black trans women) and fights for racial equity and Black liberation.
1014,"Organized efforts by groups of people to achieve certain political, social, economic, or cultural goals. Social movements are often intended to carry out, resist, or undo social changes."
1015,"People with bladder exstrophy are born with their urinary bladder exposed (through an open abdominal wall) or outside of the body. They may also have an open pelvis (resulting from the pubic bones not joining together), which causes genital differences. People with bladder exstrophy and XY chromosomes often have a shorter-than-typical penis with epispadias (meaning the urethra opens on the top surface of the penis instead of at the tip) and undescended testes. People with XX chromosomes and bladder exstrophy often have a urethra that is placed higher than usual, widely spaced labia (due to the wide spacing of their pubic bones), and a clitoris formed in two halves with a split in the middle."
1016,"Websites or webpages, typically run by individuals or small groups, that are written in an informal or conversational style."
1017,Web-based and mobile technologies used to turn communication into interactive dialogues.
1018,"Websites featuring informal, often personal writing and reflections created by LGBTQ+ people or about LGBTQ+ communities and issues."
1019,"Decoration or alteration of the human body for aesthetic or cultural purposes; includes body paint, tattooing, piercing, and scarification."
1020,Body modifications in which permanent ink is inserted into the skin to form a design.
1021,"Small holes or openings made in parts of the body to insert jewelry or implants, whether for aesthetic purposes, spiritual or religious reasons, or sexual pleasure."
1022,
1023,Slang for young masculine or transmasculine people. The term is commonly used in lesbian communities.
1024,"A masculine person of any gender, though this term is most commonly used in lesbian communities."
1025,"Form of masculinity enacted by people with a female or feminine gender identity, often by performing masculine roles, characteristics, and styles of dress."
1026,Colloquial or informal language related to lesbians or used by lesbians.
1027,Masculine identity associated with Black lesbian communities in the United States.
1028,Trans people assigned female at birth who identify partially or fully with a masculine gender.
1029,Term used to describe individuals whose gender expression is more masculine than androgynous. Generally used as a self-descriptor within LGBTQ+ communities.
1030,Bondage involving the use of rope for sexual stimulation.
1031,"Binding tools, devices, and accessories such as handcuffs, legcuffs, ropes, chains, straps, or straitjackets."
1032,"The act of cleaning and conditioning someone’s leather boots, shoes or garments. "
1033,
1034,The cohabitation of two women (often in a romantic relationship) without the financial support of a man. Originated in New England (USA) in the late 19th century.
1035,Partnerships in which both people are lesbians.
1036,"People who have two or more LGBTQ+ parents or caregivers. Includes individuals born to or adopted by people in a heterosexual relationship who later came out as LGBTQ+, as well as individuals born to or adopted by LGBTQ+ people who came together to create their own families, such as lesbian couples who choose to conceive with friends who are gay men. For use in a Canadian and United States context."
1037,Children who have one or more LGBTQ+ parent.
1038,Colloquial term for gender-affirming surgical alterations of the genitalia and/or reproductive organs.
1039,"Any of various surgeries undertaken to affirm an individual's gender. Most often applied to transgender people, but may also refer to certain procedures undergone by cisgender and intersex people."
1040,"Surgical construction of the clitoris, often undertaken as a form of gender affirming surgery."
1041,Surgical procedure to remove the uterus.
1042,Surgical construction of the labia.
1043,"Surgical procedure in which the urethra is elongated and placed along a neophallus, typically to allow for standing urination."
1044,"Medical procedure to remove one or more testes; often part of gender affirming surgery, though it can be performed for other reasons."
1045,Surgical removal of the penis.
1046,Surgical construction of the penis.
1047,Surgical construction of the scrotum.
1048,Surgical removal of the vagina.
1049,Surgical construction of the vagina.
1050,"Surgical procedure to remove the gonads, including testes and ovaries."
1051,"Non-lifesaving cosmetic procedures intended to change and ""normalize"" natural variations in genital appearance and/or reproductive anatomy. Intersex surgery was first developed in the early 20th century, with doctors making unresearched claims about an ""urgent need"" for these operations."
1052,An erotic identity an individual assumes during sexual play with one or more people; this identity can either be restricted to the bedroom or extended into day-to-day life.
1053,"Slang term for individuals who alternate between being the giving partner and the receiving partner in sexual encounters; typically used as an adjective (e.g., ""They're vers."")."
1054,Boys (typically children younger than 18) who are gay.
1055,Boys (typically children or youth younger than 18) who are heterosexual.
1056,Pejorative term applied to boys or men who are perceived to be effeminate or do not conform to traditional masculine roles.
1057,Boys (typically children or youth younger than 18) who are cisgender.
1058,Connections based on affection and trust between two or more boys.
1059,"Cultural conceptions of gender as two distinct and opposing categories, typically man and woman or masculine and feminine."
1060,Connections based on affection and trust between two or more people.
1061,A concept used to describe the social bonds that exist between members of the same sex or gender in a given culture.
1062,"Written literary works for an audience of readers from 12-18 years of age, also known as young adult literature or YA; use in reference to youth literature focusing on gay characters or themes."
1063,Areas of the body that are sensitive to sexual stimulation.
1064,"Features that appear during puberty that are not directly related to reproduction, like changes in the voice and the development of body hair."
1065,
1066,A surgical procedure aimed at increasing breast size using a prosthetic implant; often undergone by transgender women as a gender affirming surgery.
1067,A surgical procedure to decrease breast size. Often undertaken by transgender men as a gender affirming surgery.
1068,"The dimensions of an individual's breast tissue; can be used as an approximation (e.g., large breasts, small breasts) or to reference to standards of measurement for bras and other support garments."
1069,Breasts considered large within a given cultural context. Note that large breasts have various health issues associated with them and may carry stigmatized medical associations (such as terms like gigantomastia and macromastia). These terms have more specific medical meanings but should not be used outside of those specific contexts.
1070,"A surgical procedure aimed at removing the breast or as much breast tissue as possible; often undergone as part of ""top surgery"" for transgender men or nonbinary people."
1071,"Breasts considered small within a given cultural context. In certain situations, medical professionals may refer to such breasts as ""underdeveloped"" or ""hypoplastic."" These terms can be considered offensive and should not be used outside of specific medical contexts. The alternate labels included here are intended to aid search tools only and should not be used in other contexts."
1072,Any of various fetishes regarding a specific part of the body.
1073,
1074,
1075,
1076,Indigenous Australian term for people who transition from female to male.
1077,A peer-to-peer form of healthcare support for LGBTQ+ people in which volunteers (buddies) attend clinical visits with patients to provide emotional and logistical support.
1078,People who have contracted HIV.
1079,"A form of aggressive behavior that can include verbal harassment, physical assault, or coercion. Bullying is typically directed repeatedly towards particular victims, often on the grounds of race, gender, sexuality, or ability."
1080,Bullying or harassment that takes place online.
1081,Covers a wide range of behaviors that are intended to disturb or upset. Harassment is often repetitive or occurs across an extended period of time.
